NEAREST OBJECT: [0.0800445369868208, -0.3512073539090315]
NEAREST OBJECT: [0.08069129779083722, -0.3526976304604758]
NEAREST OBJECT: [0.08215737822555726, -0.34578308683956294]
NEAREST OBJECT: [0.07876021151303626, -0.3481395104746698]
NEAREST OBJECT: [0.07869797264360404, -0.3550160332634247]
NEAREST OBJECT: [0.08034308539456914, -0.35562454203215543]
NEAREST OBJECT: [0.07672478440230938, -0.3424805433961853]
NEAREST OBJECT: [0.08100804041850135, -0.34354007864292235]
NEAREST OBJECT: [0.07965694329895641, -0.34939428452626425]
NEAREST OBJECT: [0.08404699404125872, -0.3391121326889662]
NEAREST OBJECT: [0.08467293381905566, -0.3341845594989957]
NEAREST OBJECT: [0.08686501497316602, -0.3449004220089508]
NEAREST OBJECT: [0.08246990228308668, -0.3447257410099356]
NEAREST OBJECT: [0.07937987536400883, -0.3329971439959708]
NEAREST OBJECT: [0.07638182478878032, -0.3227620504710609]
NEAREST OBJECT: [0.08207813862391568, -0.346815205168961]
NEAREST OBJECT: [0.08440880438210581, -0.3454923728076532]
NEAREST OBJECT: [0.0840746008840437, -0.34433101107971187]
NEAREST OBJECT: [0.08188399377743077, -0.34276089599818865]
NEAREST OBJECT: [0.08518304546963874, -0.3352826266165019]
NEAREST OBJECT: [0.08479400343374208, -0.3439065804728762]
NEAREST OBJECT: [0.08331017928140516, -0.35377285685871707]
NEAREST OBJECT: [0.08501413993051322, -0.3509161489089772]
NEAREST OBJECT: [0.08534543387126645, -0.348784326952231]
NEAREST OBJECT: [0.08439889874333273, -0.35148228475232085]
NEAREST OBJECT: [0.030716478892247566, -0.355744226305205]
NEAREST OBJECT: [-0.012637380493300562, -0.3545425625611553]
NEAREST OBJECT: [-0.021844445890405902, -0.3217354182655416]
NEAREST OBJECT: [-0.016219500703058675, -0.33216872338202935]
NEAREST OBJECT: [-0.015288929637390307, -0.3253236400136245]
NEAREST OBJECT: [-0.01602321231166295, -0.3177470336285745]
NEAREST OBJECT: [-0.007845429573635387, -0.33645494664525766]
NEAREST OBJECT: [0.064917400849931, -0.4307381643938712]
NEAREST OBJECT: [0.18992410390600686, -0.44720009504687025]
NEAREST OBJECT: [0.14931071306601384, -0.3967676037980675]
NEAREST OBJECT: [0.09775496674831873, -0.42772341545949105]
NEAREST OBJECT: [0.11744137696375338, -0.4417703374873362]
NEAREST OBJECT: [0.14907704641232075, -0.46953348490266966]
NEAREST OBJECT: [0.3767746066352162, -0.2565640468274837]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
NEAREST OBJECT: [0.6070655228756339, -0.10900396620212835]
